activity,timestamp,
Activity B,7/2/2018 18:44,
Activity G,7/2/2018 18:44,
Activity G,7/2/2018 18:44,
Activity G,7/2/2018 18:44,
Activity E,7/2/2018 18:44,
Activity G,7/2/2018 18:44,
Activity H,7/2/2018 18:45,
Activity E,7/2/2018 18:45,
Activity H,7/2/2018 18:45,
Activity C,7/2/2018 18:45,
Activity A,7/2/2018 18:45,
Activity B,7/2/2018 18:45,
Activity D,7/2/2018 18:45,
Activity F,7/2/2018 18:46,
Activity F,7/2/2018 18:46,
Activity E,7/2/2018 18:46,
Activity B,7/2/2018 18:46,
Activity E,7/2/2018 18:46,
Activity C,7/2/2018 18:46,
Activity C,7/2/2018 18:46,
Activity B,7/2/2018 18:46,
Activity B,7/2/2018 18:46,
Activity B,7/2/2018 18:46,
Activity G,7/2/2018 18:46,
Activity B,7/2/2018 18:46,
Activity E,7/2/2018 18:47,
Activity E,7/2/2018 18:47,
Activity D,7/2/2018 18:47,
Activity D,7/2/2018 18:47,
Activity E,7/2/2018 18:47,
Activity C,7/2/2018 18:47,
Activity H,7/2/2018 18:47,
Activity F,7/2/2018 18:48,
Activity D,7/2/2018 18:48,
Activity G,7/2/2018 18:48,
Activity G,7/2/2018 18:48,
Activity F,7/2/2018 18:48,
Activity E,7/2/2018 18:48,
Activity E,7/2/2018 18:48,
Activity B,7/2/2018 18:48,
Activity E,7/2/2018 18:49,
Activity G,7/2/2018 18:49,
Activity E,7/2/2018 18:49,
Activity D,7/2/2018 18:49,
Activity F,7/2/2018 18:49,
Activity D,7/2/2018 18:50,
Activity B,7/2/2018 18:50,
Activity B,7/2/2018 18:50,
Activity H,7/2/2018 18:50,
Activity H,7/2/2018 18:50,
Activity E,7/2/2018 18:50,
Activity G,7/2/2018 18:51,
Activity B,7/2/2018 18:51,
Activity D,7/2/2018 18:51,
Activity G,7/2/2018 18:51,
Activity F,7/2/2018 18:51,
Activity G,7/2/2018 18:52,
Activity E,7/2/2018 18:52,
Activity B,7/2/2018 18:53,
Activity B,7/2/2018 18:53,
Activity F,7/2/2018 18:53,
Activity B,7/2/2018 18:54,
Activity E,7/2/2018 18:54,
Activity F,7/2/2018 18:55,
Activity E,7/2/2018 18:56,
Activity F,7/2/2018 18:57,
Activity E,7/2/2018 18:58,
Activity D,7/2/2018 18:59,
Activity G,7/2/2018 19:00,
Activity B,7/2/2018 19:02,
